route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
5513,161.5000,0.4000,79.0000,81.4768,-2.4768
0582,9663.0000,13.6000,920.0000,1015.4300,-95.4300
0617,6098.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,67.0000,0.4000,174.0000,175.1106,-1.1106
5513,334.0000,0.8000,0.0000,,
5513,534.0000,0.8000,0.0000,,
2321,67.5000,0.4000,174.0000,175.1106,-1.1106
5513,4223.0000,13.6000,0.0000,,
0617,15.5000,0.4000,208.1000,210.0006,-1.9006
0617,9219.5000,13.2000,3505.0000,3569.6200,-64.6200
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,5000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,8428.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
0582,7437.0000,13.6000,920.0000,1015.4300,-95.4300
0582,7644.0000,13.6000,920.0000,1015.4300,-95.4300
0582,7435.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
1403,9788.4600,13.0000,2380.0000,,
2321,1820.5000,3.6000,571.0000,580.9953,-9.9953
2321,601.0000,2.0000,545.0000,550.5529,-5.5529
0582,7165.8200,13.6000,920.0000,1015.4300,-95.4300
0617,8498.5000,10.0000,2980.8000,3028.3147,-47.5147
0582,5042.0000,8.0000,1250.0000,,
0617,5200.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,6100.0000,13.6000,3325.0000,3325.0000,0.0000
0617,6200.0000,13.6000,3325.0000,3325.0000,0.0000
5513,159.5000,0.4000,79.0000,81.4768,-2.4768
3151,0.0000,0.0000,350.0000,,
3151,0.0000,0.0000,150.0000,,
0617,5100.0000,13.6000,3375.0000,3439.6200,-64.6200
3151,212.0000,0.4000,0.0000,150.0000,-150.0000
1069,57.5000,0.4000,139.0000,,
0582,5031.0000,13.6000,920.0000,1015.4300,-95.4300
0582,8000.0000,13.6000,920.0000,1015.4300,-95.4300
