rechnung_nr,sendungsnummer,abs_name,leistung_date,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok,coverage_flag
2376870,21118867,SIKA POLYURETHANE,2025-02-25,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376870,21118547,SIKA POLYURETHANE,2025-02-24,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376870,21118548,SIKA POLYURETHANE,2025-02-25,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376870,21118557,SIKA POLYURETHANE,2025-02-26,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2377017,21118173,POLYURETHANE,2025-02-28,DE,70499,450.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,450.0000,-450.0000,False,gesamt_zero
2377017,21118564,POLYURETHANE,2025-02-28,DE,70499,450.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,450.0000,-450.0000,False,gesamt_zero
2377557,21117567,SIKA POLYURETHANE,2025-02-20,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2377733,21120579,SIKA S.A.U.(ESPANA),2025-03-04,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21121173,SIKA S.A.U.(ESPANA),2025-03-07,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21120940,SIKA S.A.U.,2025-03-05,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21120994,SIKA S.A.U.,2025-03-06,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21120995,SIKA S.A.U.,2025-03-07,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21121209,SIKA S.A.U.,2025-03-10,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21121390,SIKA S.A.U.,2025-03-11,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21122274,SIKA S.A.U.,2025-03-12,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21122275,SIKA S.A.U.,2025-03-13,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377733,21122487,SIKA S.A.U.,2025-03-14,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2377734,21121794,SIKA POLYURETHANE,2025-03-10,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1724.1800,1676.3400,47.8400,False,full
2377734,21121800,SIKA POLYURETHANE,2025-03-11,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1724.1800,1676.3400,47.8400,False,full
2377734,21122272,SIKA POLYURETHANE,2025-03-12,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1724.1800,1676.3400,47.8400,False,full
2377734,21122478,SIKA POLYURETHANE,2025-03-14,DE,70499,1575.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1724.1800,1676.3400,47.8400,False,full
2377734,21120578,SIKA POLYURETHANE,2025-03-03,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2377734,21120577,SIKA POLYURETHANE,2025-03-03,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2377734,21120726,SIKA POLYURETHANE,2025-03-04,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2377734,21120998,SIKA POLYURETHANE,2025-03-05,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2377734,21121192,SIKA POLYURETHANE,2025-03-06,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2377734,21120973,SIKA POLYURETHANE,2025-03-05,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2377734,21121177,SIKA POLYURETHANE,2025-03-06,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
