leistungsdatum,auftragsnummer,kunde,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok
2025-10-31,7092010015041004,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-31,7092010015045002,EBM-Papst Mulfingen GmbH & Co. KG,IE,K32,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-31,7092010014084002,EBM-Papst Mulfingen GmbH & Co. KG,EE,75306,460.0000,29.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,489.4400,489.4400,0.0000,True
2025-10-31,7092010015043008,EBM-Papst Mulfingen GmbH & Co. KG,IE,F92,3325.0000,212.8000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,3602.4200,0.0000,True
2025-11-03,7092010013598005,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-03,7092010014088000,EBM-Papst Mulfingen GmbH & Co. KG,SK,913 11,174.0000,11.1400,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,186.2500,186.2500,0.0000,True
2025-11-04,7092010014584007,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-04,7092010015115002,EBM-Papst Mulfingen GmbH & Co. KG,PL,59-241,165.0000,9.5700,9.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,184.4800,184.4800,0.0000,True
2025-11-06,7092010015784000,EBM-Papst Mulfingen GmbH & Co. KG,SK,913 11,545.0000,31.6100,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,582.1600,582.1600,0.0000,True
2025-11-06,7092010015931008,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,960.0000,55.6800,37.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1053.4400,1053.4400,0.0000,True
2025-11-06,7092010015402003,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-06,7092010015802001,EBM-Papst Mulfingen GmbH & Co. KG,PL,59-241,620.0000,35.9600,66.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,782.8300,782.8300,0.0000,True
