auftragsnr,datum,nach_ort,route_key,no_route_match,phase_a,phase_b,ldm,stpl_abrstrecke,n_direct,n_ceil,n_round,n_floor,betrag,exp_26_direct,exp_26_ceil,exp_26_round,exp_26_floor,tariff_26_direct,toll_26_direct,exp_25_direct,exp_25_ceil,dlv_version_a,exp_phase_a,delta_a,dlv_version_b,exp_phase_b,delta_b,ratio_26_direct,muster_a,muster_b
7092010033706008,2026-01-30,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,2.8000,7.0000,7.0000,7,7,6,1359.6800,1271.6041,1271.6041,1271.6041,1186.7035,1258.3000,13.3041,1271.6041,1271.6041,2025,1271.6041,88.0759,2025,1271.6041,88.0759,1.0693,False,False
7092010035690008,2026-02-06,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010035686001,2026-02-06,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010035677009,2026-02-06,Galway,H91,False,in_dlv_2025,in_dlv_2025,0.4000,1.0000,1.0000,1,1,1,223.3200,210.0006,210.0006,210.0006,210.0006,208.1000,1.9006,210.0006,210.0006,2025,210.0006,13.3194,2025,210.0006,13.3194,1.0634,False,False
7092010035682003,2026-02-06,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.2000,32.0000,32.0000,33,33,32,3793.9400,3565.8188,3569.6200,3569.6200,3565.8188,3505.0000,60.8188,3565.8188,3569.6200,2025,3565.8188,228.1212,2025,3565.8188,228.1212,1.0640,False,False
7092010036362003,2026-02-09,Littleton,E41,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2025,,,2025,,,1.0628,False,False
7092010036369002,2026-02-10,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010036736002,2026-02-13,Galway,H91,False,in_dlv_2025,in_dlv_2025,10.0000,25.0000,25.0000,25,25,25,3219.0800,3028.3147,3028.3147,3028.3147,3028.3147,2980.8000,47.5147,3028.3147,3028.3147,2025,3028.3147,190.7653,2025,3028.3147,190.7653,1.0630,False,False
7092010037394003,2026-02-13,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010037399008,2026-02-13,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010037403002,2026-02-13,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3602.4200,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0634,False,False
7092010037407000,2026-02-13,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,34.0000,33.0000,33,33,33,3602.4200,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0634,False,False
7092010038341006,2026-02-20,Galway,H91,False,in_dlv_2025,in_dlv_2025,6.0000,15.0000,15.0000,15,15,15,2316.0000,2178.4088,2178.4088,2178.4088,2178.4088,2149.9000,28.5088,2178.4088,2178.4088,2025,2178.4088,137.5912,2025,2178.4088,137.5912,1.0632,False,False
7092010038324009,2026-02-20,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010038321008,2026-02-20,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010040426005,2026-02-27,Galway,H91,False,in_dlv_2025,in_dlv_2025,10.4000,26.0000,26.0000,26,26,26,3300.4700,3104.9153,3104.9153,3104.9153,3104.9153,3055.5000,49.4153,3104.9153,3104.9153,2025,3104.9153,195.5547,2025,3104.9153,195.5547,1.0630,False,False
7092010040384008,2026-02-27,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,5.2000,13.0000,13.0000,13,13,13,2016.4100,1896.6076,1896.6076,1896.6076,1896.6076,1871.9000,24.7076,1896.6076,1896.6076,2025,1896.6076,119.8024,2025,1896.6076,119.8024,1.0632,False,False
7092010041885009,2026-03-03,Littleton,E41,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3738.0000,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2026,3439.6200,298.3800,2026,3439.6200,298.3800,1.0867,False,False
7092010042048007,2026-03-06,Portlaoise,R32,False,in_dlv_2026,in_dlv_2026,5.2000,13.0000,13.0000,13,13,13,2073.2300,1896.6076,1896.6076,1896.6076,1896.6076,1871.9000,24.7076,1896.6076,1896.6076,2026,1896.6076,176.6224,2026,1896.6076,176.6224,1.0931,False,False
7092010042775002,2026-03-06,Galway,H91,False,in_dlv_2026,in_dlv_2026,13.6000,33.0000,33.0000,33,33,33,3878.5300,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2026,3569.6200,308.9100,2026,3569.6200,308.9100,1.0865,False,False
