system;invoice;datum;dest;postcode;postcode_area;kg;ldm;fracht;diesel;lsz;ausfuhr;ssd;total_shipment
DINAS;RECHNUNG03769370.pdf;24.06.25;GB-CV5 9PF;CV5;CV;1200.0;0.8;289.4;0;0.6;15.0;15.0;320.0
DINAS;RECHNUNG03770365.pdf;11.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770366.pdf;11.06.25;GB-CB9 8PR;CB9;CB;2700.0;1.8;563.9;0;4.05;15.0;15.0;597.9499999999999
DINAS;RECHNUNG03770367.pdf;12.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770368.pdf;12.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770369.pdf;18.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770370.pdf;23.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770371.pdf;25.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770372.pdf;25.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770373.pdf;25.06.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03770374.pdf;26.06.25;GB-CB9 8PR;CB9;CB;4500.0;3.0;818.45;0;6.75;15.0;15.0;855.2
DINAS;RECHNUNG03770375.pdf;26.06.25;GB-CB9 8PR;CB9;CB;600.0;0.4;157.9;0;0.9;15.0;15.0;188.8
DINAS;RECHNUNG03770524.pdf;17.06.25;GB-LE67 1LE;LE67;LE;600.0;0.4;154.55;0;0.0;0.0;15.0;169.55
DINAS;RECHNUNG03770524.pdf;24.06.25;GB-LE67 1LE;LE67;LE;600.0;0.4;131.07;0;0.0;0.0;15.0;146.07
DINAS;RECHNUNG03770524.pdf;24.06.25;GB-LE67 1LE;LE67;LE;600.0;0.4;131.07;0;0.0;0.0;15.0;146.07
DINAS;RECHNUNG03770524.pdf;24.06.25;GB-LE67 1LE;LE67;LE;600.0;0.4;131.06;0;0.0;0.0;15.0;146.06
DINAS;RECHNUNG03770524.pdf;25.06.25;GB-CV3 4 COVENTRY;CV3;CV;1800.0;1.2;393.2;0;0.0;0.0;15.0;408.2
DINAS;RECHNUNG03770789.pdf;13.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03770789.pdf;20.06.25;GB-NE10 8YA;NE10;NE;1200.0;0.8;332.9;0;1.8;15.0;15.0;364.7
DINAS;RECHNUNG03770789.pdf;20.06.25;GB-LE42B;LE42;LE;4200.0;2.8;721.0;0;6.3;15.0;15.0;757.3
DINAS;RECHNUNG03770789.pdf;24.06.25;GB-DN11 0BG;DN11;DN;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03770789.pdf;24.06.25;GB-CV5 9PF;CV5;CV;300.0;0.2;94.55;0;0.45;15.0;15.0;125.0
DINAS;RECHNUNG03770789.pdf;26.06.25;GB-CV5 9PF;CV5;CV;900.0;0.6;231.55;0;1.35;15.0;15.0;262.9
DINAS;RECHNUNG03770789.pdf;26.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03770789.pdf;26.06.25;GB-DH6 5NP;DH6;DH;600.0;0.4;209.6;0;0.9;15.0;15.0;240.5
DINAS;RECHNUNG03770792.pdf;13.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.3;15.0;15.0;184.85000000000002
DINAS;RECHNUNG03770793.pdf;13.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.45;15.0;15.0;185.0
DINAS;RECHNUNG03770794.pdf;18.06.25;GB-DN11 0BG;DN11;DN;600.0;0.4;161.45;0;0.45;15.0;15.0;191.89999999999998
DINAS;RECHNUNG03770822.pdf;16.06.25;GB-DE53R;DE53;DE;0.0;0.0;410.35;0;0.0;0.0;0.0;410.35
DINAS;RECHNUNG03770822.pdf;16.06.25;GB-DE53R;DE53;DE;0.0;0.0;2715.75;0;0.0;0.0;0.0;2715.75
DINAS;RECHNUNG03770822.pdf;16.06.25;GB-NN86X;NN86;NN;24000.0;13.6;2540.95;0;0.0;0.0;15.0;2555.95
DINAS;RECHNUNG03770822.pdf;13.06.25;GB-EX14 1SD;EX14;EX;6600.0;4.4;1121.65;0;0.0;0.0;15.0;1136.65
DINAS;RECHNUNG03770822.pdf;16.06.25;GB-SK237 WHALEY;SK23;SK;6000.0;4.0;1023.4;0;0.0;0.0;15.0;1038.4
DINAS;RECHNUNG03770822.pdf;17.06.25;GB-NN9 6NY;NN9;NN;0.0;0.0;2540.95;0;0.0;0.0;15.0;2555.95
DINAS;RECHNUNG03770822.pdf;17.06.25;GB-NP108 CELTIC;NP10;NP;0.0;0.0;845.75;0;0.0;0.0;15.0;860.75
DINAS;RECHNUNG03770822.pdf;17.06.25;GB-BA3 4BS;BA3;BA;0.0;0.0;1325.3;0;0.0;0.0;15.0;1340.3
DINAS;RECHNUNG03770822.pdf;17.06.25;GB-PE25 3SN;PE25;PE;7800.0;5.2;1289.6;0;0.0;0.0;15.0;1304.6
DINAS;RECHNUNG03771599.pdf;04.07.25;GB-CB9 8PR;CB9;CB;600.0;0.4;157.9;0;0.9;15.0;15.0;188.8
DINAS;RECHNUNG03772292.pdf;10.07.25;GB-CB9 8PR;CB9;CB;450.0;0.3;157.4;0;0.75;15.0;15.0;188.15
DINAS;RECHNUNG03772887.pdf;11.07.25;GB-CB9 8PR;CB9;CB;750.0;0.5;210.55;0;1.2;15.0;15.0;241.75
DINAS;RECHNUNG03772888.pdf;11.07.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03772889.pdf;11.07.25;GB-CB9 8PR;CB9;CB;600.0;0.4;157.9;0;0.9;15.0;15.0;188.8
DINAS;RECHNUNG03772951.pdf;02.07.25;GB-TF2 7NB;TF2;TF;600.0;0.4;178.6;0;0.0;0.0;15.0;193.6
DINAS;RECHNUNG03772951.pdf;03.07.25;GB-LE67 1LE;LE67;LE;1200.0;0.8;289.4;0;0.0;0.0;15.0;304.4
DINAS;RECHNUNG03772951.pdf;08.07.25;GB-LE67 1LE;LE67;LE;3000.0;2.0;565.4;0;0.0;0.0;15.0;580.4
DINAS;RECHNUNG03772951.pdf;01.07.25;GB-CW9 6GB;CW9;CW;1200.0;0.8;292.85;0;0.0;0.0;15.0;307.85
DINAS;RECHNUNG03772951.pdf;07.07.25;GB-M17 1 MANCHESTER;M17;M;3600.0;2.4;703.7;0;0.0;0.0;15.0;718.7
DINAS;RECHNUNG03773061.pdf;30.06.25;GB-LE42B;LE42;LE;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03773061.pdf;30.06.25;GB-NG17 4PA;NG17;NG;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03773061.pdf;01.07.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03773061.pdf;01.07.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03773061.pdf;04.07.25;GB-CV5 9PF;CV5;CV;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
DINAS;RECHNUNG03773061.pdf;07.07.25;GB-LE42B;LE42;LE;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
